"Story","Title","Result","Date","Stability","Duration (s)"
"Title of your feature","consultando usuario","ERROR","2023-03-15T09:46:13.9907708-05:00[America/Bogota]","0.0","7.43"
"Title of your feature","creando usuario","SUCCESS","2023-03-14T18:49:34.0403246-05:00[America/Bogota]","0.0","4.42"
